kappa,method,backend,status,message,cost_final,dist_to_opt,cost_gap,grad_norm_final,n_iter,n_feval,n_jeval,n_heval,panel,scale,x_scale,n,rho,fraction
1.0,trust-exact,trust-apl,CONVERGED,,6.35792818652676e-18,3.565929723227363e-09,6.35792818652676e-18,3.565929945056902e-09,3.0,5.0,5.0,5.0,ill_conditioning,,,,,
1.0,trust-exact,scipy,CONVERGED,Optimization terminated successfully.,0.0,1e-16,0.0,0.0,3.0,4.0,4.0,4.0,ill_conditioning,,,,,
10.0,trust-exact,trust-apl,CONVERGED,,1.528541884022875e-15,5.520226473173111e-08,1.528541884022875e-15,6.35331101137699e-08,4.0,6.0,6.0,6.0,ill_conditioning,,,,,
10.0,trust-exact,scipy,CONVERGED,Optimization terminated successfully.,3.3526588471893e-30,1.9860273225978185e-15,3.3526588471893e-30,1.3506446028928519e-14,3.0,4.0,4.0,4.0,ill_conditioning,,,,,
100.0,trust-exact,trust-apl,CONVERGED,,7.860245613516715e-16,3.964841381719992e-08,7.860245613516715e-16,4.578195603237548e-08,6.0,8.0,8.0,8.0,ill_conditioning,,,,,
100.0,trust-exact,scipy,CONVERGED,Optimization terminated successfully.,1.279509708517456e-25,5.057737450477618e-13,1.279509708517456e-25,8.721940345743054e-13,3.0,4.0,4.0,4.0,ill_conditioning,,,,,
1000.0,trust-exact,trust-apl,CONVERGED,,7.802524635729399e-16,3.950322037555163e-08,7.802524635729399e-16,4.557951615587466e-08,8.0,10.0,10.0,10.0,ill_conditioning,,,,,
1000.0,trust-exact,scipy,CONVERGED,Optimization terminated successfully.,1.5173584895188739e-22,1.7418851669349833e-11,1.5173584895188739e-22,2.2803992695069808e-10,3.0,4.0,4.0,4.0,ill_conditioning,,,,,
10000.0,trust-exact,trust-apl,CONVERGED,,7.802075430119989e-16,3.950208980463922e-08,7.802075430119989e-16,4.348893339387029e-08,10.0,12.0,12.0,12.0,ill_conditioning,,,,,
10000.0,trust-exact,scipy,CONVERGED,Optimization terminated successfully.,2.7944620416499007e-20,2.3640486616141017e-10,2.7944620416499007e-20,1.3644468666976659e-08,3.0,4.0,4.0,4.0,ill_conditioning,,,,,
100000.0,trust-exact,trust-apl,CONVERGED,,7.814189864086542e-16,3.9532734806811074e-08,7.814189864086542e-16,2.910651526663539e-06,12.0,14.0,14.0,14.0,ill_conditioning,,,,,
100000.0,trust-exact,scipy,CONVERGED,Optimization terminated successfully.,2.586242957256634e-15,7.191999668691166e-08,2.586242957256634e-15,7.191999662481408e-08,3.0,4.0,4.0,4.0,ill_conditioning,,,,,
1000000.0,trust-exact,trust-apl,CONVERGED,,1.04938630781739e-18,1.429881789328423e-09,1.04938630781739e-18,0.0002328306436582603,15.0,17.0,17.0,17.0,ill_conditioning,,,,,
1000000.0,trust-exact,scipy,FAILED,A bad approximation caused failure to predict improvement.,1.0585916594054086e-11,4.601286034765768e-06,1.0585916594054086e-11,0.00011650621867198061,3.0,4.0,4.0,4.0,ill_conditioning,,,,,
10000000.0,trust-exact,trust-apl,STALLED,,6.964101573873082,3.732050796512035,6.964101573873082,4.317061881315968,4.0,6.0,6.0,6.0,ill_conditioning,,,,,
10000000.0,trust-exact,scipy,FAILED,A bad approximation caused failure to predict improvement.,2.7866465826501722e-06,0.0023607823206086573,2.7866465826501722e-06,0.014167910368600205,3.0,4.0,4.0,4.0,ill_conditioning,,,,,
100000000.0,trust-exact,trust-apl,STALLED,,6.964101614725106,3.7320508074583083,6.964101614725106,4.77598025817229,4.0,6.0,6.0,6.0,ill_conditioning,,,,,
100000000.0,trust-exact,scipy,FAILED,A bad approximation caused failure to predict improvement.,3.2921810699588474,2.5660011963983367,3.2921810699588474,2.5660011963983367,1.0,2.0,2.0,2.0,ill_conditioning,,,,,
,lm,trust-apl,CONVERGED,,6.357927395498188e-18,3.565929723227363e-09,6.357927395498188e-18,3.565929723227363e-09,3.0,5.0,5.0,0.0,scaling,1.0,,,,
,lm,scipy,CONVERGED,`gtol` termination condition is satisfied.,0.0,0.0,0.0,1e-16,2.0,2.0,2.0,0.0,scaling,1.0,,,,
