n,method,backend,status,message,cost_final,dist_to_opt,cost_gap,grad_norm_final,n_iter,n_feval,n_jeval,n_heval
2,trust-exact,trust-apl,CONVERGED,,1.942317358727796e-25,1.3763780203816672e-12,1.942317358727796e-25,2.275643611276524e-12,30.0,32.0,32.0,32.0
2,BFGS,trust-apl,CONVERGED,,5.585543749917304e-15,2.2320130866118528e-07,5.585543749917304e-15,7.841121905033385e-07,58.0,60.0,60.0,0.0
2,trust-exact,scipy,CONVERGED,Optimization terminated successfully.,1.6656264921145726e-19,1.2518047550807797e-09,1.6656264921145726e-19,3.192845128664093e-09,25.0,26.0,23.0,26.0
2,BFGS,scipy,CONVERGED,Optimization terminated successfully.,1.43691719658426e-15,7.582293419604054e-09,1.43691719658426e-15,1.1975148897461048e-06,34.0,45.0,45.0,0.0
2,Newton-CG,scipy,CONVERGED,Optimization terminated successfully.,6.373891178503451e-09,0.0002526562470227678,6.373891178503451e-09,0.006548712102695465,81.0,101.0,101.0,81.0
2,trust-krylov,scipy,CONVERGED,Optimization terminated successfully.,2.4396981189953967e-09,0.00015631592709740812,2.4396981189953967e-09,3.1216006955929756e-05,35.0,36.0,36.0,31.0
2,L-BFGS-B,scipy,CONVERGED,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.403824885872699e-12,2.2425659796532393e-06,1.403824885872699e-12,3.006194254719678e-05,36.0,44.0,44.0,0.0
10,trust-exact,trust-apl,CONVERGED,,9.711586793638981e-25,3.077674816309999e-12,9.711586793638981e-25,5.088493807377415e-12,30.0,32.0,32.0,32.0
10,BFGS,trust-apl,CONVERGED,,4.059181010079864e-15,1.6837923605026472e-07,4.059181010079864e-15,1.110019274108242e-06,139.0,141.0,141.0,0.0
10,trust-exact,scipy,CONVERGED,Optimization terminated successfully.,3.7056834749132924e-13,2.2039694512324054e-07,3.7056834749132924e-13,1.914293567587782e-05,22.0,23.0,21.0,23.0
10,BFGS,scipy,CONVERGED,Optimization terminated successfully.,2.0845523766492337e-11,1.4433760129484773e-05,2.0845523766492337e-11,7.337789566605723e-06,105.0,117.0,117.0,0.0
10,Newton-CG,scipy,CONVERGED,Optimization terminated successfully.,7.578550667398243e-10,8.71239098930929e-05,7.578550667398243e-10,0.006386317320153793,83.0,105.0,105.0,83.0
10,trust-krylov,scipy,CONVERGED,Optimization terminated successfully.,3.043052981110405e-09,0.0001745806091412471,3.043052981110405e-09,3.486181684311193e-05,31.0,32.0,32.0,28.0
10,L-BFGS-B,scipy,CONVERGED,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,9.448237833950596e-13,2.69388374241805e-06,9.448237833950596e-13,1.4866505179484085e-05,36.0,44.0,44.0,0.0
100,trust-exact,trust-apl,CONVERGED,,9.711586793638981e-24,9.73246231687993e-12,9.711586793638981e-24,1.609123029097474e-11,30.0,32.0,32.0,32.0
100,BFGS,trust-apl,MAX_ITER,,3.71791876944288,5.103269929087538,3.71791876944288,6.234576042711028,201.0,203.0,203.0,0.0
100,trust-exact,scipy,CONVERGED,Optimization terminated successfully.,5.393981057547578e-11,2.1793120105151108e-05,5.393981057547578e-11,8.095440491814173e-05,25.0,26.0,23.0,26.0
100,BFGS,scipy,MAX_ITER,Maximum number of iterations has been exceeded.,0.07063205418702095,0.8460101913250904,0.07063205418702095,1.166327495257251,200.0,229.0,229.0,0.0
100,Newton-CG,scipy,CONVERGED,Optimization terminated successfully.,7.578531292993506e-09,0.000275509641755954,7.578531292993506e-09,0.02019527523054041,83.0,105.0,105.0,83.0
100,trust-krylov,scipy,CONVERGED,Optimization terminated successfully.,7.583888650104587e-09,0.0002756070044387889,7.583888650104587e-09,5.503447442022963e-05,46.0,47.0,47.0,37.0
100,L-BFGS-B,scipy,CONVERGED,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,6.791562914563117e-14,4.5512907996992967e-07,6.791562914563117e-14,6.880204190206014e-06,36.0,48.0,48.0,0.0
1000,trust-exact,trust-apl,CONVERGED,,9.711586793638981e-23,3.077674816309999e-11,9.711586793638981e-23,5.088493807377441e-11,30.0,32.0,32.0,32.0
1000,BFGS,trust-apl,ERROR,harness did not complete within 60s,,,,,,,,
1000,trust-exact,scipy,CONVERGED,Optimization terminated successfully.,1.4379263155702334e-13,5.144847603622481e-07,1.4379263155702334e-13,1.0844849373381367e-05,26.0,27.0,24.0,27.0
1000,BFGS,scipy,MAX_ITER,Maximum number of iterations has been exceeded.,289.44201530213184,32.35877968344737,289.44201530213184,95.55006765049305,200.0,228.0,228.0,0.0
1000,Newton-CG,scipy,CONVERGED,Optimization terminated successfully.,7.578523102332953e-08,0.0008712375144823025,7.578523102332953e-08,0.06386302310079063,83.0,105.0,105.0,83.0
1000,trust-krylov,scipy,CONVERGED,Optimization terminated successfully.,7.751171691339163e-13,3.381822210747814e-07,7.751171691339163e-13,2.7662803121580453e-05,43.0,44.0,44.0,35.0
1000,L-BFGS-B,scipy,CONVERGED,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,2.105457237250663e-11,9.001110234986418e-06,2.105457237250663e-11,0.00011399420107404886,35.0,44.0,44.0,0.0
