scale,method,x_scale,backend,status,message,cost_final,dist_to_opt,cost_gap,grad_norm_final,n_iter,n_feval,n_jeval,n_heval
1.0,lm,,trust-apl,CONVERGED,,6.357927395498188e-18,3.565929723227363e-09,6.357927395498188e-18,3.565929723227363e-09,3.0,5.0,5.0,0.0
1.0,lm,jac,trust-apl,UNSUPPORTED,lm does not support x_scale='jac',,,,,,,,
1.0,lm,fixed,trust-apl,CONVERGED,,6.357927395498188e-18,3.565929723227363e-09,6.357927395498188e-18,3.565929723227363e-09,3.0,5.0,5.0,0.0
1.0,BFGS,fixed,trust-apl,CONVERGED,,6.357927395498188e-18,3.565929723227363e-09,6.357927395498188e-18,3.565929723227363e-09,3.0,5.0,5.0,0.0
1.0,lm,,scipy,CONVERGED,`gtol` termination condition is satisfied.,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
1.0,lm,jac,scipy,CONVERGED,`gtol` termination condition is satisfied.,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
1.0,lm,fixed,scipy,CONVERGED,`gtol` termination condition is satisfied.,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
1.0,trf,,scipy,CONVERGED,`gtol` termination condition is satisfied.,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0
1.0,trf,jac,scipy,CONVERGED,`gtol` termination condition is satisfied.,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0
1.0,trf,fixed,scipy,CONVERGED,`gtol` termination condition is satisfied.,0.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0
1.0,dogbox,,scipy,CONVERGED,`gtol` termination condition is satisfied.,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0
1.0,dogbox,jac,scipy,CONVERGED,`gtol` termination condition is satisfied.,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0
1.0,dogbox,fixed,scipy,CONVERGED,`gtol` termination condition is satisfied.,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0
10.0,lm,,trust-apl,CONVERGED,,2.000301873233739e-16,3.565929723227363e-09,2.000301873233739e-16,1.978244483379693e-07,3.0,5.0,5.0,0.0
10.0,lm,jac,trust-apl,UNSUPPORTED,lm does not support x_scale='jac',,,,,,,,
