problem_id,method,backend,status,message,cost_final,dist_to_opt,cost_gap,grad_norm_final,n_iter,n_feval,n_jeval,n_heval
noisy_expdec,lm,trust-apl,CONVERGED,,0.01443639031332264,1.831700616797572e-09,-1.457167719820518e-16,4.901850660914322e-10,8,10,10,0
noisy_expdec,BFGS,trust-apl,CONVERGED,,0.01443639031332257,1.8576497283280936e-09,-2.1684043449710089e-16,2.464244055502171e-10,16,18,18,0
noisy_expdec,trust-exact,trust-apl,CONVERGED,,0.01443639031332266,1.848978925935594e-09,-1.2663481374630692e-16,1.205247321081614e-14,30,32,32,32
noisy_expdec,lm,scipy,CONVERGED,`ftol` termination condition is satisfied.,0.014436390313322701,1.584321228434689e-09,-8.500145032286355e-17,7.535552244712732e-09,9,9,7,0
noisy_expdec,trf,scipy,CONVERGED,`ftol` termination condition is satisfied.,0.014436390313322786,0.0,0.0,5.2620463761280016e-08,6,6,6,0
noisy_expdec,dogbox,scipy,CONVERGED,`ftol` termination condition is satisfied.,0.014436390313322773,3.3250072355676537e-10,-1.3877787807814457e-17,4.316155147416659e-08,6,6,6,0
noisy_expdec,BFGS,scipy,CONVERGED,Optimization terminated successfully.,0.014436390313334001,2.413046867984179e-08,1.1214987272190058e-14,3.076752184838572e-06,10,13,13,0
noisy_expdec,L-BFGS-B,scipy,CONVERGED,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,0.014436390313368038,4.415050643164618e-08,4.525199659433099e-14,6.326463462711651e-06,11,14,14,0
noisy_expdec,Newton-CG,scipy,CONVERGED,Optimization terminated successfully.,0.014436390313322608,1.8489760345170926e-09,-1.7867651802561113e-16,8.61624134867033e-06,7,11,11,7
noisy_expdec,trust-exact,scipy,CONVERGED,Optimization terminated successfully.,0.01443639033571076,1.6775214860429088e-06,2.2387973419579765e-11,3.482932539994798e-05,6,7,7,7
noisy_expdec,trust-constr,scipy,CONVERGED,`gtol` termination condition is satisfied.,0.014436390313322646,1.8485566902261731e-09,-1.4051260155412137e-16,1.830971640699351e-10,10,10,10,10
noisy_expdec,trust-krylov,scipy,CONVERGED,Optimization terminated successfully.,0.014436390313322986,3.388925666278573e-09,1.9949319973733282e-16,2.5868322204656524e-07,7,8,8,7
logistic,lm,trust-apl,CONVERGED,,1.647893137186809,5.778940563681985e-07,1.000310945187266e-12,2.560625490620623e-05,6,8,8,0
logistic,BFGS,trust-apl,CONVERGED,,1.647893137186043,4.1931449162234957e-07,2.3425705819590803e-13,1.034385068250075e-05,22,24,24,0
logistic,trust-exact,trust-apl,CONVERGED,,1.647893137185829,4.776833929044646e-08,2.020605904817785e-14,5.411712397176301e-07,6,8,8,8
logistic,lm,scipy,CONVERGED,`ftol` termination condition is satisfied.,1.6478931371871965,6.75651026654799e-07,1.3877787807814457e-12,3.0241125098629447e-05,7,7,6,0
